,Plik,f0,formant1,formant2,formant3,formant4,formant5,formant6,plec
50,F:/S2_Semestr3/sygnaly_projekt/vowels_dataset\dzwiek_u_1.wav,137.8125,0.0,358.14563882860904,4116.996418217898,16849.111695234304,22050.0,0.0,0
51,F:/S2_Semestr3/sygnaly_projekt/vowels_dataset\dzwiek_u_10.wav,134.86238532110093,0.0,321.4842760134639,5320.887794446641,16041.383053821293,22050.0,0.0,0
52,F:/S2_Semestr3/sygnaly_projekt/vowels_dataset\dzwiek_u_2.wav,140.0,0.0,322.87819166522166,4577.077006669496,16691.435467822568,22050.0,0.0,0
53,F:/S2_Semestr3/sygnaly_projekt/vowels_dataset\dzwiek_u_3.wav,140.44585987261146,0.0,316.9699835833474,4920.5577758222,17916.3649309887,22050.0,0.0,0
54,F:/S2_Semestr3/sygnaly_projekt/vowels_dataset\dzwiek_u_4.wav,152.06896551724137,0.0,345.7610339630871,3877.9328179249737,16771.036074623582,22050.0,0.0,0
55,F:/S2_Semestr3/sygnaly_projekt/vowels_dataset\dzwiek_u_5.wav,141.34615384615384,0.0,345.4783407424825,6494.020374705794,16137.031843057388,22050.0,0.0,0
56,F:/S2_Semestr3/sygnaly_projekt/vowels_dataset\dzwiek_u_6.wav,139.55696202531647,0.0,292.9232832669798,6182.271514249309,16086.97450153705,22050.0,0.0,0
57,F:/S2_Semestr3/sygnaly_projekt/vowels_dataset\dzwiek_u_7.wav,136.95652173913044,0.0,277.74919790724704,6456.398414635745,16133.18603913368,22050.0,0.0,0
58,F:/S2_Semestr3/sygnaly_projekt/vowels_dataset\dzwiek_u_8.wav,137.38317757009347,0.0,369.7324264100546,5225.517363651178,15988.830225567539,22050.0,0.0,0
59,F:/S2_Semestr3/sygnaly_projekt/vowels_dataset\dzwiek_u_9.wav,135.27607361963192,311.9325670080713,4598.884286748805,15411.644196648338,22050.0,22050.0,0.0,0
60,F:/S2_Semestr3/sygnaly_projekt/vowels_dataset\dzwiek_y_1.wav,139.1167192429022,0.0,1307.0747941299821,4971.49858990777,16363.028936842096,22050.0,0.0,0
61,F:/S2_Semestr3/sygnaly_projekt/vowels_dataset\dzwiek_y_10.wav,134.86238532110093,0.0,628.178973364481,5869.153808082142,16082.09939578809,22050.0,0.0,0
62,F:/S2_Semestr3/sygnaly_projekt/vowels_dataset\dzwiek_y_2.wav,139.55696202531647,0.0,1521.511260567183,5513.027872881283,17515.21542667199,22050.0,0.0,0
63,F:/S2_Semestr3/sygnaly_projekt/vowels_dataset\dzwiek_y_3.wav,140.89456869009584,0.0,1598.2384641100023,4504.284293693174,16652.37334134137,22050.0,0.0,0
64,F:/S2_Semestr3/sygnaly_projekt/vowels_dataset\dzwiek_y_4.wav,151.5463917525773,0.0,0.0,1480.7614714151296,5942.237755049753,18585.68892402998,0.0,0
65,F:/S2_Semestr3/sygnaly_projekt/vowels_dataset\dzwiek_y_5.wav,140.89456869009584,0.0,1783.586184067017,6050.602635701343,18500.175939556608,22050.0,0.0,0
66,F:/S2_Semestr3/sygnaly_projekt/vowels_dataset\dzwiek_y_6.wav,140.0,0.0,1507.572224812276,6156.830829023954,16351.589679106488,22050.0,0.0,0
67,F:/S2_Semestr3/sygnaly_projekt/vowels_dataset\dzwiek_y_7.wav,138.67924528301887,0.0,696.5563271772278,4725.665305529272,16116.78498775305,22050.0,0.0,0
68,F:/S2_Semestr3/sygnaly_projekt/vowels_dataset\dzwiek_y_8.wav,138.24451410658307,0.0,517.6079869815028,5943.168325122424,16086.41447326324,22050.0,0.0,0
69,F:/S2_Semestr3/sygnaly_projekt/vowels_dataset\dzwiek_y_9.wav,135.27607361963192,0.0,1976.7315536231229,5651.775386105787,16965.432475019283,22050.0,0.0,0
70,F:/S2_Semestr3/sygnaly_projekt/vowels_dataset\E_10_Ola.wav,191.7391304347826,0.0,454.81510356249663,3771.110204488732,15849.461528167685,22050.0,0.0,1
71,F:/S2_Semestr3/sygnaly_projekt/vowels_dataset\E_1_Ola.wav,191.7391304347826,0.0,0.0,510.41185664837565,4405.8503485422425,16749.513972812674,0.0,1
